Name,Current price,Change(%),Open,High,Low,Volume
CANADIAN SOLAR INC.,38.77,2.3,37.3,38.77,37.3,441431
RHYTHM PHARMACEUTICALS INC.,18.09,1.12,17.82,18.32,17.37,439987
INNOVIVA INC.,11.77,10.25,11.75,11.79,11.63,439942
XENCOR INC.,28.67,10.66,28.66,28.89,27.92,439394
ATLANTICA SUSTAINABLE INFRASTRUCTURE PL,27.88,10.99,28.08,28.08,27.61,438358
LATHAM GROUP INC.,2.47,13.14,2.57,2.6,2.36,438214
VERASTEM INC.,0.397,0.0,0.42,0.42,0.391,437319
CELULARITY INC.,0.66,13.93,0.709,0.72,0.63,437270
MEIWU TECHNOLOGY CO.,0.205,7.9,0.195,0.205,0.19,436930
PDF SOLUTIONS INC.,42.57,3.25,41.04,42.57,40.56,436368
MAXEON SOLAR TECHNOLOGIES,28.18,5.78,26.38,28.22,26.11,436259
AVROBIO INC.,0.91,16.19,0.95,0.998,0.91,435621
MUSCLE MAKER INC,1.23,9.82,1.11,1.27,1.09,435012
DAY ONE BIOPHARMACEUTICALS,12.7,11.4,12.75,12.92,12.63,434788
GREENLIGHT BIOSCIENCES HLD.,0.466,9.39,0.46,0.48,0.451,434786
TRANSMEDICS GROUP INC.,72.73,10.57,72.5,73.18,71.33,434331
SONIM TECHNOLOGIES INC.,1.02,0.0,0.99,1.02,0.95,433647
NEWEGG COMMERCE INC.,1.19,0.85,1.18,1.21,1.15,433612
SPOK HOLDINGS INC.,12.1,1.94,12.0,12.25,11.76,433549
AMPHASTAR PHARMACEUTICALS INC.,40.19,1.82,39.56,40.52,39.2,433126
CASA SYSTEMS INC.,1.17,0.86,1.16,1.19,1.12,431869
AAON INC.,94.26,1.63,92.05,94.64,90.83,431713
GOGO INC.,14.39,10.62,14.4,14.62,14.32,431261
SAGE THERAPEUTICS INC.,41.43,10.14,41.29,41.6,40.65,430873
STERICYCLE INC.,42.01,0.67,41.41,42.05,41.41,429989
ICAHN ENTERPRISES L.P. DEPOSITARY UNITS,52.06,10.59,52.25,52.49,51.7,429075
LIQUIDIA CORP.,6.74,10.15,6.5,6.79,6.5,428813
1-800-FLOWERS.COM INC.,11.61,2.29,11.25,11.7,11.2,428589
IAC INC.,49.93,0.0,49.46,50.22,49.08,428282
LAKELAND BANCORP INC.,15.14,1.07,14.94,15.29,14.82,427988
CRYOPORT INC.,21.24,0.76,20.95,21.27,19.81,426613
THE LOVESAC COMPANY,28.24,11.64,28.46,28.82,27.77,426100
DRIVEN BRANDS HLD.,29.88,1.39,29.24,30.08,29.22,426046
WHOLE EARTH BRANDS INC.,2.39,0.42,2.41,2.41,2.25,425511
UPBOUND GROUP INC.,23.68,2.38,23.0,23.93,22.97,425012
ETAO INTERNATIONAL CO.,0.95,123.39,1.28,1.28,0.87,424939
AVIS BUDGET GROUP INC.,190.69,5.1,179.11,191.98,179.11,424766
IGM BIOSCIENCES INC.,10.48,17.01,11.09,11.4,10.14,424542
C4 THERAPEUTICS INC.,3.12,15.45,3.35,3.51,3.07,424149
NEXTDECADE CORP.,5.01,5.25,4.76,5.02,4.76,423161
REPLIMUNE GROUP INC.,16.36,12.27,16.47,16.49,15.94,423141
WIX.COM,92.27,11.21,91.88,93.09,90.46,423046
AMDOCS LTD.,95.31,10.52,95.46,95.81,95.07,422582
TFS FINANCIAL CORP.,12.4,0.65,12.44,12.49,12.27,421304
PETMED EXPRESS INC.,15.54,0.97,15.4,15.81,15.29,421087
MARKETAXESS HOLDINGS INC.,335.7,12.21,339.9,343.13,333.77,420576
COGNEX CORP.,48.39,2.54,46.95,48.43,46.95,420171
INTAPP INC.,45.11,10.04,44.83,45.18,44.0,418661
CAPITALWORKS EMERGING MARKETS ACQUISITI,10.44,0.1,10.43,10.44,10.43,417147
WD-40 COMPANY,172.35,13.5,169.99,173.24,163.82,415488
BIOLASE INC.,0.263,16.07,0.28,0.285,0.26,414493
SPRUCE BIOSCIENCES INC.,2.02,18.6,2.24,2.27,1.94,414009
SILK ROAD MEDICAL INC.,39.43,0.31,39.12,39.54,38.5,413779
CN ENERGY GROUP INC.,0.191,12.05,0.195,0.2,0.185,413590
GENMAB A/S ADS,38.84,10.1,38.59,38.84,38.31,412932
FAZE HOLDINGS INC.,0.53,9.28,0.51,0.55,0.501,412874
THERAVANCE BIOPHARMA INC.,11.03,1.1,10.92,11.07,10.81,412483
CHECKPOINT THERAPEUTICS INC.,2.37,17.33,2.0,2.39,1.96,412470
FUNKO INC.,9.52,2.48,9.28,9.6,9.26,412439
CYBERARK SOFTWARE,137.88,10.9,137.17,139.78,135.72,412404
DENNY S CORP.,11.19,2.29,10.85,11.29,10.85,410220
CHINOOK THERAPEUTICS INC.,21.6,12.35,22.14,22.14,21.39,408903
LOGITECH INTERNATIONAL S.A. REGISTERED,57.09,0.12,56.82,57.1,56.2,408179
SLEEP NUMBER CORP.,27.69,10.47,27.61,28.23,27.03,408106
INSTIL BIO INC.,0.655,11.65,0.67,0.68,0.65,407936
ALSET CAPITAL ACQUISITION,0.2,0.0,0.23,0.23,0.2,407300
ANSYS INC.,321.84,10.07,318.64,321.92,317.89,407077
TELOS CORP.,2.4,10.83,2.4,2.41,2.32,407037
IRIDIUM COMMUNICATIONS INC,60.53,10.74,60.54,61.05,60.04,406740
NANOSTRING TECHNOLOGIES INC.,9.75,5.52,9.11,9.79,8.97,406461
MOTORCAR PARTS OF AMERICA INC.,5.42,12.52,5.61,5.7,5.34,406199
URANIUM ROYALTY,2.03,1.0,1.99,2.03,1.97,405617
ECHOSTAR CORP.,18.34,1.72,18.07,18.38,17.92,405222
SPERO THERAPEUTICS INC.,1.56,3.31,1.51,1.57,1.48,404661
MONOLITHIC POWER SYSTEMS INC.,488.76,3.2,467.64,489.08,466.31,404445
COGNYTE SOFTWARE,3.41,11.45,3.37,3.49,3.31,402633
OMNIAB INC.,3.85,2.67,3.72,3.85,3.68,402594
LATCH INC.,0.633,14.24,0.667,0.69,0.62,401989
PLAYSTUDIOS INC.,3.92,4.81,3.69,4.01,3.66,400683
SIGHT SCIENCES INC.,8.67,5.6,8.24,9.02,8.06,399935
LION GROUP HOLDING,0.243,17.61,0.263,0.269,0.234,399171
RICHARDSON ELECTRONICS,19.35,6.03,18.25,19.54,17.92,399106
AMC NETWORKS INC.,18.22,3.58,17.45,18.38,17.45,398981
CLEARFIELD INC.,47.21,4.26,45.22,47.61,45.01,398684
LOTTERY.COM INC.,0.528,36.08,0.388,0.528,0.388,398316
MERIT MEDICAL SYSTEMS INC.,75.58,0.88,74.22,75.82,74.2,397504
DEFINITIVE HEALTHCARE,10.45,10.19,10.39,10.46,10.16,396759
ORION ENERGY SYSTEMS INC.,1.9,12.56,1.94,1.94,1.89,396707
ATRICURE INC.,41.12,1.68,40.28,41.16,39.03,396629
RETO ECO-SOLUTIONS INC.,0.27,13.57,0.266,0.3,0.266,396396
RENEW ENERGY GLOBAL PLC SHARES,5.55,1.28,5.44,5.57,5.41,396254
EIGER BIOPHARMACEUTICALS INC.,0.8,0.0,0.81,0.81,0.75,396116
THE ODP CORP.,43.89,1.9,43.44,44.12,42.73,396027
AXON ENTERPRISE INC.,222.63,1.33,218.67,222.78,217.55,395829
CLARUS CORP.,9.51,6.73,8.84,9.63,8.84,395520
EVERBRIDGE INC.,31.91,0.31,31.42,31.98,30.66,395483
AGIOS PHARMACEUTICALS INC.,21.59,10.83,21.67,21.76,21.09,395302
MONRO INC.,47.1,0.96,46.54,47.17,46.43,393957
INOTIV INC.,4.15,1.47,4.1,4.19,3.86,393868
ACADIA HEALTHCARE CO.,73.27,0.7,72.72,73.54,71.17,393103
NGM BIOPHARMACEUTICALS INC.,4.07,6.27,3.83,4.08,3.78,391416
GRIFOLS S.A. ADS,7.35,12.13,7.56,7.56,7.28,391415
FORMFACTOR INC.,30.56,3.07,29.35,30.73,29.19,390566
SMITH & WESSON BRANDS INC.,12.25,3.38,11.9,12.3,11.9,389062
KEARNY FINANCIAL,8.14,0.62,8.07,8.24,8.01,388948
ENCORE CAPITAL GROUP INC,50.96,0.67,50.64,51.62,50.34,388192
ELECTRAMECCANICA VEHICLES,0.509,10.2,0.52,0.525,0.505,387708
SBA COMMUNICATIONS,261.74,0.79,257.18,261.84,255.22,387492
HERITAGE COMMERCE CORP,8.39,0.72,8.2,8.43,8.19,387379
BLACKROCK CAPITAL INVESTMENT,3.52,3.53,3.4,3.55,3.4,387211
TTM TECHNOLOGIES INC.,12.63,10.16,12.64,12.85,12.51,386129
ROYAL GOLD INC.,136.81,10.8,136.53,137.29,135.71,386057
CUE HEALTH INC.,1.88,0.53,1.81,1.88,1.81,385034
ONESPAWORLD HOLDINGS,12.0,3.36,11.6,12.01,11.58,383877
AKOUSTIS TECHNOLOGIES INC.,3.21,4.22,3.07,3.24,3.01,383637
PROCEPT BIOROBOTICS,33.57,0.84,33.09,33.78,32.44,383518
SARCOS TECHNOLOGY AND ROBOTICS,0.47,2.62,0.47,0.48,0.451,383257
FTAI INFRASTRUCTURE INC.,3.18,8.16,2.93,3.19,2.93,381971
AGORA INC. ADS,3.5,13.85,3.68,3.68,3.44,381420
TUNIU CORP.,1.94,7.18,1.78,1.99,1.78,381223
CARIBOU BIOSCIENCES INC.,4.84,18.51,5.26,5.26,4.83,380071
AVID TECHNOLOGY INC.,33.21,3.78,31.72,33.34,31.72,377464
REGENERON PHARMACEUTICALS INC.,823.76,10.6,824.37,826.07,815.82,377082
NEW MOUNTAIN FINANCE,11.94,11.0,12.02,12.1,11.77,376795
PDS BIOTECHNOLOGY,5.95,2.41,5.77,6.1,5.7,376501
IRHYTHM TECHNOLOGIES INC.,129.33,3.8,123.74,129.51,121.85,376328
GRID DYNAMICS HLD.,11.88,3.57,11.34,12.04,11.34,375614
QUINCE THERAPEUTICS INC.,1.52,17.32,1.61,1.64,1.48,374799
ZIMVIE INC.,7.72,5.46,7.23,7.77,7.23,374759
EL POLLO LOCO HLD.,9.1,2.02,8.91,9.17,8.85,374002
EXPENSIFY INC.,7.8,11.76,7.85,7.86,7.69,373432
CINCINNATI FINANCIAL,111.31,10.48,111.49,111.98,110.67,373054
TONIX PHARMACEUTICALS HOLDING,0.576,12.37,0.57,0.59,0.564,373033
AVNET INC.,43.83,1.32,43.25,43.89,43.17,372887
STARBOX GROUP HOLDINGS,3.28,16.82,3.45,3.57,3.28,372799
NORTHWESTERN CORP.,60.83,10.39,61.24,61.24,59.98,372355
AMEDISYS INC,78.88,2.59,76.42,79.07,76.28,372138
4D MOLECULAR THERAPEUTICS INC.,16.07,10.31,16.13,16.27,15.64,370677
SEELOS THERAPEUTICS INC.,0.82,5.13,0.78,0.822,0.741,370484
DIGITAL WORLD ACQUISITION,13.19,11.12,13.15,13.34,12.92,370021
ARVINAS INC.,27.65,10.75,27.63,27.93,27.15,369219
PARATEK PHARMACEUTICALS INC.,2.57,13.02,2.6,2.63,2.47,368408
NUVEI CORP.,40.38,11.3,40.2,40.56,39.39,368296
IDEXX LABORATORIES INC.,477.22,0.99,469.09,477.84,461.02,367899
CATHAY GENERAL BANCORP,33.51,1.03,33.06,33.78,32.86,367880
PREDICTIVE ONCOLOGY INC.,0.279,2.57,0.269,0.3,0.26,367830
QUIDELORTHO CORP.,90.55,0.51,89.52,90.8,88.84,367500
HARVARD BIOSCIENCE INC.,4.87,14.32,4.26,4.9,4.19,366991
TIVIC HEALTH SYSTEMS INC.,0.135,10.74,0.147,0.148,0.133,366728
MKS INSTRUMENTS INC.,84.9,2.28,81.8,84.94,81.72,366552
SPRINGWORKS THERAPEUTICS INC.,24.64,12.45,25.07,25.11,24.2,365092
CONCENTRIX CORP.,111.22,11.48,111.86,112.66,110.34,364291
UNITED THERAPEUTICS,223.07,11.81,225.62,227.43,222.23,364249
SEER INC.,3.73,0.27,3.71,3.73,3.58,363909
APPLIED MOLECULAR TRANSPORT,0.282,4.44,0.27,0.31,0.27,363564
ANNEXON INC.,4.45,5.45,4.22,4.53,4.18,363254
GRITSTONE BIO INC.,2.84,2.53,2.71,2.87,2.67,362947
TRUECAR INC.,2.15,12.27,2.08,2.16,2.03,362805
HORIZON BANCORP INC.,10.88,0.55,10.82,10.99,10.69,362762
MACOM TECHNOLOGY SOLUTIONS HLD.,65.63,2.77,63.24,66.0,63.06,362663
VANDA PHARMACEUTICALS INC.,6.74,11.89,6.87,6.88,6.67,362446
DOMO INC.,14.5,10.75,14.36,14.84,14.2,361605
GREAT LAKES DREDGE & DOCK,5.42,1.31,5.35,5.44,5.23,361408
VERITONE INC.,5.1,11.16,5.03,5.16,4.93,361254
ALGOMA STEEL GROUP INC.,7.63,1.33,7.52,7.66,7.41,360579
BENTLEY SYSTEMS INC.,42.01,0.6,41.25,42.02,41.03,359033
FIRST FINANCIAL BANCORP.,21.17,0.47,20.95,21.39,20.95,358961
CALAMOS CONVERTIBLE OPPORTUNITIES AND,10.67,2.4,10.42,10.73,10.4,357753
ONESPAN INC.,18.33,3.79,17.47,18.45,17.42,356655
FIRST MERCHANTS,31.6,10.38,31.72,32.05,31.27,356543
BLUEPRINT MEDICINES,42.38,13.31,43.54,43.54,41.75,356261
TITAN MACHINERY INC.,28.58,6.36,27.02,28.76,26.75,354809
FRESHPET INC.,65.58,10.77,65.69,66.54,64.5,354520
ARIDIS PHARMACEUTICALS INC.,0.249,15.68,0.256,0.263,0.23,354493
REKOR SYSTEMS INC.,1.24,12.73,1.12,1.25,1.12,354187
FORESIGHT AUTONOMOUS HLD.,0.384,14.0,0.38,0.4,0.354,353440
TORM PLC,30.03,4.05,29.41,30.62,29.37,353312
SEI INVESTMENTS CO.,56.8,0.04,56.56,57.06,56.51,353189
EAGLE BANCORP INC.,32.44,0.31,32.07,32.58,32.07,352926
BOXLIGHT CORP.,0.388,1.57,0.373,0.39,0.365,352873
ZUMIEZ INC.,18.83,2.0,18.31,18.87,18.31,352832
WISA TECHNOLOGIES INC.,1.33,15.67,1.39,1.42,1.26,352802
AVADEL PHARMACEUTICALS PLC ADS,9.19,7.23,8.56,9.25,8.49,352747
HELEN OF TROY LTD.,88.97,10.58,88.43,89.51,86.42,352439
PAYCOR HCM INC.,24.55,1.03,24.1,24.61,23.84,351662
HEALTHEQUITY INC.,57.61,1.09,57.0,57.74,56.57,351470
TORO CORP.,2.55,15.91,2.22,2.59,2.22,351038
SILICON MOTION TECHNOLOGY,65.35,2.54,63.42,65.5,63.41,350853
MERCHANTS BANCORP,26.1,0.0,25.93,26.6,25.74,350402
MAXLINEAR INC,34.45,2.26,33.41,34.51,33.26,350198
PARDES BIOSCIENCES INC.,1.53,13.16,1.63,1.65,1.49,349625
KALTURA INC.,1.9,0.53,1.89,1.91,1.83,349543
LIGHT & WONDER INC.,60.11,1.42,58.81,60.53,58.7,349442
NETSCOUT SYSTEMS INC.,29.22,0.27,28.93,29.22,28.85,348695
BEYOND AIR INC.,6.5,12.11,6.65,6.65,6.47,348147
PROTHENA CORP.,48.84,10.99,49.02,49.18,48.28,347597
VIASAT INC.,34.28,0.26,34.11,34.33,33.49,347509
AVEPOINT INC.,4.07,1.5,3.96,4.07,3.96,347005
ABCAM PLC ADS,13.1,2.26,12.77,13.2,12.72,346181
COLLEGIUM PHARMACEUTICAL INC.,23.67,0.77,23.42,23.9,23.29,346004
EMBECTA CORP.,28.88,1.83,28.14,28.95,27.95,345819
SONO GROUP N.V.,0.322,1.58,0.317,0.326,0.31,345590
DIGI INTERNATIONAL INC.,33.59,1.54,32.95,33.65,32.76,345071
FOCUS UNIVERSAL INC.,1.86,110.58,2.05,2.07,1.78,344442
SIDUS SPACE INC.,0.519,3.8,0.5,0.519,0.499,343147
WSFS FINANCIAL CORP.,37.33,1.06,36.61,37.53,36.61,341867
ANGI INC.,2.18,0.93,2.11,2.18,2.09,341499
NUVVE HOLDING CORP.,0.88,14.66,0.897,0.941,0.841,339879
MONDAY.COM,134.75,0.66,132.09,134.76,129.82,339243
ADICET BIO INC.,5.64,0.36,5.73,5.73,5.47,339222
PRA GROUP INC.,38.65,0.08,38.66,38.87,38.47,338989
KODIAK SCIENCES INC,4.66,12.1,4.69,4.72,4.5,338051
CRINETICS PHARMACEUTICALS INC.,16.02,0.82,15.85,16.05,15.5,337719
ENGLOBAL CORP.,0.4,5.26,0.4,0.404,0.38,336693
MIRUM PHARMACEUTICALS INC.,24.96,10.16,24.88,25.1,24.71,335061
INDEPENDENT BANK GROUP INC,45.47,3.25,43.82,45.5,43.62,334966
POOL CORP.,335.17,2.73,323.88,335.23,323.03,334960
FSD PHARMA,1.89,9.88,1.71,1.9,1.68,334109
HYDROFARM HLD.,1.54,8.45,1.43,1.56,1.41,334037
O REILLY AUTOMOTIVE INC.,869.75,1.0,860.03,870.68,859.79,332995
ENCORE WIRE CORP.,161.0,1.02,159.36,163.08,159.1,332539
SELLAS LIFE SCIENCES GROUP,1.49,13.87,1.55,1.57,1.47,332334
ABSCI CORP.,1.77,2.31,1.76,1.84,1.74,332061
PIEDMONT LITHIUM INC.,51.98,1.25,50.8,52.01,50.45,331558
ENERGOUS CORP.,0.51,0.59,0.5,0.53,0.492,331279
GALERA THERAPEUTICS INC.,2.65,10.75,2.7,2.77,2.56,331201
AMBARELLA INC.,71.93,1.27,70.08,72.34,69.65,331171
NEAR INTELLIGENCE INC.,2.89,12.69,2.82,3.0,2.6,330514
GOGORO INC.,3.69,13.4,3.83,3.83,3.56,330462
XENON PHARMACEUTICALS INC.,34.84,10.85,35.05,35.24,33.6,330020
AEROVIRONMENT INC.,107.08,3.17,103.84,107.38,103.58,329932
TRUSTMARK CORP.,24.3,0.83,24.06,24.55,23.96,329825
ICAD INC.,1.43,8.33,1.35,1.48,1.28,329502
VIPER ENERGY PARTNERS LP,30.13,0.7,30.0,30.54,29.96,329074
THE SHYFT GROUP INC.,21.86,3.11,21.08,21.98,21.06,329021
CUREVAC N.V.,7.38,1.65,7.16,7.43,7.07,326668
INTELLIGENT LIVING APPLICATION GROUP,1.23,1.65,1.21,1.45,1.05,325585
ZEVRA THERAPEUTICS INC.,6.04,7.66,5.55,6.09,5.54,325473
INTUITIVE MACHINES INC.,10.68,12.02,10.72,10.84,10.28,324427
IDEAYA BIOSCIENCES INC.,14.14,10.14,14.1,14.19,13.67,324289
BLUE SAFARI GROUP ACQUISITION,11.75,11.59,10.8,14.75,10.4,323954
COMMVAULT SYSTEMS INC.,59.38,1.59,58.14,59.45,57.91,323586
MERCER INTERNATIONAL INC.,9.47,2.16,9.29,9.59,9.29,323337
BIONTECH SE ADS,127.71,10.92,128.11,128.51,125.96,323285
THE ENSIGN GROUP INC.,98.41,1.21,96.92,99.07,96.86,322902
LIFECORE BIOMEDICAL INC.,3.74,12.35,3.72,3.87,3.69,322391
COHU INC.,36.7,2.92,35.46,37.07,35.25,322315
SPORTSMAP TECH ACQUISITION,10.41,0.1,10.4,10.41,10.37,320675
MARTEN TRANSPORT,20.47,2.35,19.96,20.5,19.74,319747
ACCOLADE INC.,13.51,10.52,13.37,13.66,13.17,319463
FRANKLIN ELECTRIC CO. INC.,88.22,1.5,86.83,88.35,86.04,319212
WILLIS TOWERS WATSON PUBLIC,234.77,10.83,235.09,236.54,233.02,318495
KAIXIN AUTO HOLDINGS,0.41,18.89,0.46,0.505,0.401,318123
NAAS TECHNOLOGY INC. ADS,11.98,13.07,11.96,12.6,11.81,318039
SUTRO BIOPHARMA INC.,4.32,15.88,4.55,4.55,4.27,317095
RESERVOIR MEDIA INC..,6.23,11.74,6.2,6.44,6.05,316227
CALYXT INC.,0.3,111.77,0.34,0.34,0.269,315578
JIUZI HOLDINGS INC.,0.13,5.69,0.133,0.133,0.119,315020
GSE SYSTEMS INC.,0.72,24.14,0.61,0.74,0.58,314716
PERASO INC.,0.522,14.57,0.501,0.594,0.48,313399
OPORTUN FINANCIAL,3.76,5.92,3.5,3.84,3.47,313188
PERDOCEO EDUCATION,13.35,1.21,13.21,13.42,13.17,312968
WAVE LIFE SCIENCES,4.61,4.3,4.49,4.66,4.31,312941
AMERICAN PUBLIC EDUCATION INC.,5.44,13.89,5.61,5.66,5.15,312563
AMERICAN RESOURCES,1.34,0.75,1.33,1.34,1.26,312560
HELIUS MEDICAL TECHNOLOGIES,0.214,16.55,0.225,0.229,0.21,312091
VISTEON CORP.,145.86,1.33,143.28,146.82,141.55,311632
SAIA INC.,266.94,5.06,252.46,267.39,252.46,311450
CIRRUS LOGIC INC.,103.3,0.55,101.78,103.81,101.78,310985
NN INC.,1.07,11.83,1.1,1.12,1.05,310595
EQUINIX INC.,706.24,10.7,704.8,706.73,693.32,310444
SHOCKWAVE MEDICAL INC.,226.9,1.73,221.2,227.27,216.1,309595
INTEGRA LIFESCIENCES HLD.,57.37,10.02,57.24,57.47,56.8,307936
SONNET BIOTHERAPEUTICS HLD.,0.328,10.61,0.32,0.34,0.32,307800
JACK IN THE BOX INC.,87.25,0.29,86.35,88.05,86.24,307448
AXONICS INC.,56.26,10.3,56.04,56.42,55.32,307184
RANGER OIL CORP.,42.03,0.69,41.93,42.68,41.88,305626
DIME COMMUNITY BANCSHARES INC.,21.78,0.97,21.54,21.98,21.38,305450
AFYA LTD.,11.69,6.18,11.0,11.89,10.85,305116
JAZZ PHARMACEUTICALS PLC,146.27,10.6,146.63,147.0,144.6,304457
AIR TRANSPORT SERVICES GROUP,20.74,0.53,20.59,21.05,20.59,303421
MIMEDX GROUP INC,3.3,10.6,3.28,3.33,3.2,302721
KARUNA THERAPEUTICS INC.,179.61,0.64,177.59,180.61,175.0,302448
FINTECH ECOSYSTEM DEVELOPMENT,10.6,0.28,10.57,10.6,10.57,301342
LEAP THERAPEUTICS INC.,0.315,1.61,0.31,0.331,0.31,301331
FIRST BUSEY CORP.,19.85,0.46,19.72,20.16,19.63,299740
ACCELERATE DIAGNOSTICS INC.,0.71,11.39,0.71,0.71,0.66,299500
SPORTSMAN S WAREHOUSE HLD.,8.4,3.83,8.13,8.46,8.1,299180
INTERFACE INC.,7.59,0.93,7.5,7.73,7.49,298477
TASKUS INC.,13.48,1.89,13.12,13.75,12.96,298468
NEXTGEN HEALTHCARE INC.,17.11,11.16,17.23,17.39,17.06,298216
NKARTA INC.,3.6,1.12,3.5,3.72,3.45,298181
DOUYU INTERNATIONAL HLD.,1.15,0.0,1.15,1.16,1.12,297205
CORMEDIX INC.,4.66,10.17,4.16,4.67,4.15,296837
RELMADA THERAPEUTICS INC.,2.28,0.88,2.26,2.41,2.21,296237
JAWS HURRICANE ACQUISITION,10.17,0.1,10.17,10.17,10.16,295891
ADVENT TECHNOLOGIES HLD.,1.08,0.0,1.07,1.08,1.05,294875
UXIN LTD.,2.44,7.02,2.29,2.49,2.28,294864
PACIRA BIOSCIENCES INC.,41.6,10.79,41.73,41.99,41.09,294449
COMPASS PATHWAYS PLC ADS,10.55,0.57,10.43,10.71,10.18,293928
DICE THERAPEUTICS INC.,27.18,1.3,26.55,27.27,26.24,293784
NMI HOLDINGS INC,21.94,10.05,21.95,22.09,21.73,292753
UPLAND SOFTWARE INC.,4.02,11.71,4.06,4.12,3.95,292438
PUBMATIC INC.,14.09,1.51,13.78,14.1,13.74,292187
ZILLOW GROUP INC.,44.07,0.34,43.32,44.46,43.3,291863
STELLAR BANCORP INC.,23.64,1.07,23.25,23.88,23.24,291034
MERCADOLIBRE INC.,1251.62,0.53,1225.22,1252.39,1210.29,289811
CINTAS CORP.,450.01,10.38,449.38,450.16,447.09,288999
MONTE ROSA THERAPEUTICS INC.,8.16,0.37,8.12,8.52,8.05,288875
BANDWIDTH INC.,14.15,10.84,14.06,14.31,13.8,287302
AMBRX BIOPHARMA INC. ADS,8.42,9.92,7.59,8.53,7.49,286428
OCEANFIRST FINANCIAL,17.81,0.85,17.68,18.05,17.46,285833
THE BANCORP INC.,27.75,1.46,27.14,27.9,26.93,284743
KASPIEN HOLDINGS INC.,0.64,111.11,0.72,0.77,0.62,284723
CONTRAFECT CORP.,1.07,19.32,1.15,1.17,1.03,284449
FOX FACTORY HOLDING,112.23,0.49,111.36,112.23,110.64,284406
LUMIRADX LTD.,0.57,18.36,0.61,0.65,0.561,283623
INDEPENDENT BANK,63.43,10.7,63.63,64.86,63.18,283366
PRELUDE THERAPEUTICS INC.,6.99,13.47,6.06,7.45,6.02,283153
BIOXCEL THERAPEUTICS INC.,17.31,0.17,17.11,17.51,16.8,282936
YOSHITSU CO. LTD ADS,1.3,7.44,1.23,1.32,1.16,282626
CATALYST BIOSCIENCES INC.,0.205,11.91,0.209,0.213,0.2,281850
LIBERTY TRIPADVISOR HLD.,0.8,0.0,0.79,0.82,0.77,281542
NEUBASE THERAPEUTICS INC.,0.165,12.37,0.17,0.17,0.161,280919
WEJO GROUP LTD.,0.403,11.71,0.408,0.42,0.386,280775
MOGO INC.,0.646,0.94,0.67,0.67,0.64,280610
VALLON PHARMACEUTICALS INC.,0.397,1.02,0.381,0.42,0.381,280453
UFP INDUSTRIES INC.,77.51,1.92,75.71,77.88,75.71,279941
BIG 5 SPORTING GOODS,8.0,3.9,7.69,8.09,7.65,279924
IMPINJ INC.,136.09,5.63,128.61,136.75,127.36,278914
CLENE INC.,1.09,13.54,1.13,1.13,1.08,277491
APPIAN CORP.,41.91,10.64,41.56,41.92,40.22,276868
BANNER CORP.,52.92,10.02,52.54,53.57,52.39,276782
NEUROONE MEDICAL TECHNOLOGIES,1.75,14.38,1.61,1.75,1.61,275872
FANGDD NETWORK GROUP,0.96,111.11,1.06,1.15,0.89,275835
MADRIGAL PHARMACEUTICALS INC.,245.33,10.91,245.89,246.8,239.47,275646
VERISIGN INC.,212.58,10.23,210.83,212.66,210.19,275395
AVANTAX INC.,26.98,2.47,26.28,27.01,26.21,275187
HIBBETT INC.,62.22,5.44,58.92,62.39,58.92,275065
SO-YOUNG INTERNATIONAL,2.55,11.54,2.56,2.64,2.49,274044
HUB GROUP INC.,81.02,3.85,78.07,81.07,77.85,273847
PATHWARD FINANCIAL INC.,42.0,10.07,41.62,42.54,41.04,273646
COLUMBIA FINANCIAL INC.,18.43,2.9,17.83,18.48,17.83,273142
TRINITY CAPITAL INC.,11.48,11.96,11.59,11.73,11.15,272836
LOGISTICS INNOVATION TECHNOLOGIES,10.15,0.0,10.15,10.16,10.14,272827
ARTEMIS STRATEGIC INVESTMENT,10.41,0.0,10.9,10.9,10.35,272782
TRAVELZOO,6.0,6.38,5.8,6.5,5.8,272162
MGO GLOBAL INC.,0.97,15.83,1.0,1.03,0.96,271952
RED ROBIN GOURMET BURGERS INC.,14.94,3.68,14.33,15.13,14.14,270658
ARCBEST CORP.,93.4,4.25,88.86,93.57,88.12,270631
JAMF HOLDING CORP.,19.22,11.54,19.31,19.43,18.64,270613
COLUMBIA SPORTSWEAR CO.,88.6,0.24,87.86,89.11,87.86,270457
STANDARD BIOTOOLS INC.,1.82,1.68,1.74,1.85,1.73,269915
ACUMEN PHARMACEUTICALS INC.,3.83,1.59,3.77,3.92,3.7,269752
U.S. ENERGY CORP.,1.36,14.23,1.42,1.43,1.36,269581
BIOLIFE SOLUTIONS INC.,19.62,12.53,19.97,19.97,19.12,269502
CONSENSUS CLOUD SOLUTIONS INC.,36.47,5.04,34.45,37.26,34.45,269290
FIRST ADVANTAGE,13.19,1.77,12.93,13.23,12.54,267852
KELLY SERVICES INC.,16.41,1.11,16.2,16.56,16.1,267797
HEARTLAND FINANCIAL USA INC.,36.65,1.05,36.06,36.78,35.74,267333
MERCURY SYSTEMS INC,52.0,1.36,51.22,52.13,51.18,267192
INOGEN INC,12.78,2.0,12.57,12.87,12.32,267011
BORQS TECHNOLOGIES INC.,0.25,0.0,0.24,0.25,0.24,266828
COMPOSECURE INC.,7.51,1.49,7.34,7.55,7.34,266503
UP FINTECH HOLDING,3.21,0.0,3.2,3.24,3.19,266117
